"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"08/04/2010","AQS","340035001","2","0","ppb","0","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"08/05/2010","AQS","340035001","2","0","ppb","0","HACKENSACK","23","96.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"08/06/2010","AQS","340035001","2","2","ppb","3","HACKENSACK","22","92.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"08/07/2010","AQS","340035001","2","0","ppb","0","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"08/08/2010","AQS","340035001","2","0","ppb","0","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"08/09/2010","AQS","340035001","2","1","ppb","1","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"08/10/2010","AQS","340035001","2","2","ppb","3","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"08/11/2010","AQS","340035001","2","2","ppb","3","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"08/12/2010","AQS","340035001","2","0","ppb","0","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"08/13/2010","AQS","340035001","2","0","ppb","0","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"08/14/2010","AQS","340035001","2","0","ppb","0","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
